,city,cuisines,longitude,latitude,priceRangeMin,priceRangeMax,websites
0,Albany,"Thai,Asian/Pacific,Vegetarian",-122.29701299999999,37.885131,0.0,0.0,https://www.potala.us/
5,San Diego,"Vegetarian,Indian",-117.07858999999999,33.012662,25.0,40.0,https://passagetoindiasd.com
37,New York,"Smoothies and Juices,Vegetarian,Healthy",-73.979105,40.785469,0.0,0.0,https://www.greenforcejuice.com
76,New York,"Local/Organic,Vegan Restaurants,Smoothies and Juices,Vegetarian,Healthy",-74.00171,40.740559999999995,0.0,25.0,https://liquiteria.com
386,Houston,"Seafood,Italian,Vegetarian,Deli and Sandwich",-95.460856,29.744809000000004,25.0,40.0,https://www.maggianos.com/locations/
477,Brooklyn,"Sushi,Kosher,Vegan",-73.95796999999999,40.61801,0.0,0.0,
558,Brooklyn,"Desserts,Bakery and Pastries,Vegan",-73.95958900000001,40.687556,0.0,0.0,
570,New York,"American (New),Vegetarian,Coffee and Tea,Health Food,Vegan",-73.98677099999999,40.729012,0.0,25.0,https://www.mudnyc.com
773,New York,"Vegetarian,Coffee and Tea,Bakery,Desserts,Bakery and Pastries,Vegan",-73.984727,40.729436,25.0,40.0,https://tu-lusbakery.com
783,Brooklyn,"Local/Organic,Vegetarian,Coffee and Tea,Healthy,Vegan",-73.972179,40.689791,0.0,0.0,https://www.smoochorganic.com
820,Brooklyn,"Vegetarian,Indian",-73.99218,40.699664,0.0,30.0,https://www.asyany.com/
879,New York,"Vegetarian,Indian",-73.982421,40.742497,25.0,40.0,https://www.chotenawabnyc.com
916,New York,"Vegetarian,Dim Sum,Chinese",-73.998173,40.715022,0.0,25.0,https://vegetariandimsumnyc.com
1181,Brooklyn,"Vegetarian,Indian",-73.974711,40.6761,0.0,0.0,
1215,Brooklyn,"Vegetarian,Coffee and Tea",-73.933909,40.695939,0.0,0.0,
1294,New York,"Vegetarian,Indian",-74.001087,40.72948,0.0,0.0,https://www.masalamac.com/
1322,Brooklyn,"Vegetarian,Sandwiches",-73.962198,40.716353000000005,0.0,25.0,
1336,New York,"Vegetarian,Greek",-73.964381,40.805628999999996,0.0,0.0,https://www.geocities.com/symposiumrestaurant/
